FULLNAME,GENDERIDENTITY,BIRTHDATE,AGE,SIGNUPDATE,MEMBERSHIPLABEL,MEMBERSHIPCATEGORY,STATUS,BEGINDATE,ENDDATE,AUTORENEW,DROPREASON,INCOMECATEGORY,LASTATTDATE,ATTTOTAL,AUTOPAY,TOTALPAYMENTAMOUNT,TOTALDURATIONDAYS,MEMBERSHIPCOUNT,MEMBERSHIPTYPE
Maureen Johnson,Female,04/29/1986,39,07/03/2016,Wellness Bundle,Annual,Inactive,08/06/2017,07/15/2018,Yes,,Wellness Plan,03/29/2018,2,ON,4580,343,5,FirstTime
Tracy Garcia,Male,05/07/1982,43,05/07/2023,Momentum Membership,Monthly,Paused,02/25/2024,03/17/2025,Yes,Lack of Results,Infinity Pass,02/07/2025,3,ON,4279,386,3,FirstTime
Monica Atkinson,Female,05/04/2005,20,07/17/2015,Peak Season Promo,Single Use,Active,02/18/2016,03/02/2017,Yes,Facility Dissatisfaction,Premium Pass,06/30/2022,4,ON,724,378,4,FirstTime
Hailey Beltran,Female,12/22/1961,63,07/24/2019,Starter Pass,Annual,Paused,03/11/2020,04/16/2021,Yes,Relocation,Flexi Tier,01/26/2021,2,ON,5562,401,5,FirstTime
Anthony Ellis,Female,08/30/1961,63,05/20/2015,Starter Pass,Annual,Active,11/20/2015,04/10/2017,Yes,,Standard Plan,03/24/2020,0,OFF,5989,507,4,Renewed
Riley Clark,Other,11/28/2009,15,09/28/2021,Momentum Membership,Single Use,Suspended,06/06/2022,03/25/2024,Yes,Schedule Conflicts,Standard Plan,10/11/2024,1,ON,4805,658,6,Reactivated
Erica Morales,Male,08/07/1995,29,12/10/2015,Wellness Bundle,Trial,Trialing,09/12/2016,11/08/2017,Yes,Lack of Results,Standard Plan,07/31/2017,1,ON,5374,422,7,Renewed
Sarah Gates,Male,02/25/1968,57,09/25/2025,Peak Season Promo,Seasonal,Active,07/23/2026,06/28/2027,No,Financial Constraints,Standard Plan,07/23/2026,3,ON,4622,340,4,Referral
Natalie Huff,Male,03/11/1967,58,05/22/2023,Annual Flex,Basic,Active,04/07/2024,04/25/2025,Yes,Personal Reasons,Standard Plan,06/03/2024,2,ON,2087,383,4,Upgraded
Ashley Bowen,Female,04/15/1960,65,09/08/2024,Wellness Bundle,Annual,Active,04/23/2025,04/22/2027,No,Financial Constraints,Starter Bundle,05/29/2025,5,ON,586,729,3,Renewed
Jonathan Lopez,Female,01/23/1987,38,07/20/2016,Starter Pass,Trial,Active,03/22/2017,04/10/2019,Yes,Health Issues,Flexi Tier,01/05/2025,5,ON,5151,749,7,Upgraded
Michael Bell,Female,05/16/1970,55,08/01/2019,Peak Season Promo,Annual,Paused,03/30/2020,04/17/2021,No,Facility Dissatisfaction,Standard Plan,07/04/2024,5,ON,2732,383,6,Renewed
Nicole Chung,Female,11/17/1997,27,05/14/2019,Flexi Access,Trial,Inactive,01/27/2020,01/07/2021,No,Health Issues,Standard Plan,07/28/2021,3,ON,3960,346,4,Renewed
Kevin Stout,Male,06/23/1966,58,08/10/2022,Peak Season Promo,Monthly,Inactive,07/17/2023,10/05/2024,Yes,Lack of Results,Standard Plan,09/14/2023,1,ON,3811,446,5,Reactivated
Nicole Medina,Male,01/05/1991,34,01/23/2015,Peak Season Promo,Monthly,Active,11/06/2015,12/29/2016,Yes,Schedule Conflicts,Standard Plan,03/04/2017,2,ON,3175,419,6,Referral
Christina Davis,Female,05/14/1971,54,08/02/2017,Peak Season Promo,Trial,Active,08/10/2018,08/24/2020,Yes,Personal Reasons,Standard Plan,10/19/2022,5,ON,3166,745,4,Renewed
Jennifer Baker,Male,05/13/1984,41,12/25/2023,Starter Pass,Annual,Active,07/08/2024,05/26/2025,Yes,Health Issues,Standard Plan,05/09/2025,0,OFF,3518,322,7,Renewed
Jennifer Morse,Female,01/11/1992,33,09/27/2017,Gold Promo,Monthly,Inactive,09/04/2018,11/20/2019,Yes,Found Alternative,Premium Pass,04/17/2022,1,ON,4820,442,5,Renewed
Robin Clay,Female,03/26/1952,73,08/18/2017,Wellness Bundle,Annual,Active,09/19/2018,06/23/2020,Yes,Schedule Conflicts,Standard Plan,01/02/2025,2,ON,3193,643,4,FirstTime
Angela Key,Male,08/07/1964,60,04/20/2024,Flexi Access,Single Use,Active,01/26/2025,11/15/2026,Yes,Financial Constraints,Standard Plan,04/30/2025,5,ON,1939,658,4,Renewed
Joshua Contreras,Female,04/06/1974,51,07/21/2024,Momentum Membership,Single Use,Active,02/18/2025,10/01/2026,Yes,Financial Constraints,Starter Bundle,02/25/2025,5,ON,5370,590,7,FirstTime
Roy Lucero II,Female,04/18/1963,62,11/18/2020,Starter Pass,Trial,Active,07/05/2021,05/09/2023,Yes,Injury,Premium Pass,06/13/2023,3,ON,1455,673,7,FirstTime
Cindy Smith,Female,03/05/1960,65,03/09/2015,Peak Season Promo,Monthly,Active,03/22/2016,05/01/2017,Yes,,Premium Pass,09/14/2020,1,ON,4999,405,3,Upgraded
Logan Massey,Male,05/03/1961,64,08/30/2025,Starter Pass,Seasonal,Pending,09/02/2026,07/06/2028,Yes,Health Issues,Starter Bundle,09/02/2026,2,ON,5373,673,7,Reactivated
Laura Gutierrez,Female,06/10/1972,53,05/10/2025,Flexi Access,Monthly,Paused,03/30/2026,06/25/2027,No,Health Issues,Wellness Plan,03/30/2026,0,ON,1886,452,5,Upgraded
Lori Oneal,Male,08/11/2000,24,04/01/2025,Flexi Access,Trial,Trialing,02/14/2026,08/03/2027,Yes,Financial Constraints,Flexi Tier,02/14/2026,1,OFF,1396,535,4,Reactivated
Michelle Holden,Male,02/20/2009,16,02/11/2025,Gold Promo,Monthly,Active,10/12/2025,06/06/2027,Yes,Schedule Conflicts,Wellness Plan,10/12/2025,1,ON,2337,602,5,FirstTime
Jacob Mccullough,Female,09/20/1997,27,05/05/2016,Starter Pass,Seasonal,Active,02/19/2017,09/29/2018,Yes,Financial Constraints,Infinity Pass,03/19/2020,4,ON,943,587,6,Referral
Howard Rubio,Female,05/25/2006,19,08/30/2017,Starter Pass,Annual,Active,03/08/2018,03/18/2020,Yes,,Standard Plan,09/19/2019,5,ON,1048,741,5,Referral
Victoria Wright,Male,03/28/1954,71,06/01/2023,Gold Promo,Annual,Paused,06/30/2024,06/01/2026,Yes,Health Issues,Standard Plan,02/14/2025,5,OFF,773,701,7,Renewed
William Mueller,Male,06/26/1980,44,09/30/2025,Zen Trial,Monthly,Pending,06/09/2026,08/12/2027,Yes,Health Issues,Flexi Tier,06/09/2026,0,ON,2431,429,7,Gifted
Erik Aguirre,Female,06/25/1978,46,08/04/2024,Starter Pass,Annual,Suspended,06/23/2025,10/04/2026,Yes,Relocation,Premium Pass,06/23/2025,5,ON,4588,468,3,Renewed
Michelle Newman,Female,10/05/1984,40,10/22/2023,Starter Pass,Annual,Guest,10/24/2024,10/23/2025,No,Facility Dissatisfaction,Standard Plan,11/03/2024,0,ON,1674,364,3,FirstTime
Mrs. Laura Brown,Female,07/06/1981,43,08/23/2017,Starter Pass,Annual,Active,05/05/2018,08/27/2019,Yes,Health Issues,Premium Pass,02/15/2019,4,ON,3616,479,5,Upgraded
Jeffrey Benton Jr.,Female,09/20/1985,39,08/05/2018,Momentum Membership,Annual,Inactive,03/19/2019,05/22/2021,Yes,Injury,Premium Pass,05/25/2020,0,OFF,4890,795,3,Upgraded
Amy Bailey,Female,11/22/1981,43,02/09/2022,Flexi Access,Annual,Active,12/02/2022,06/21/2024,Yes,Financial Constraints,Standard Plan,05/28/2025,2,ON,4362,567,3,Referral
Michael Jones,Female,11/21/2001,23,06/15/2024,Starter Pass,Monthly,Active,06/13/2025,03/23/2027,Yes,Personal Reasons,Standard Plan,06/15/2025,1,ON,1789,648,6,Referral
Theresa Luna,Female,03/22/1992,33,04/17/2015,Wellness Bundle,Single Use,Paused,01/13/2016,11/19/2016,Yes,Schedule Conflicts,Standard Plan,07/14/2016,2,ON,3660,311,5,Renewed
Michael Bender DVM,Female,11/18/1991,33,01/26/2018,Starter Pass,Annual,Active,10/22/2018,01/13/2020,No,Lack of Results,Premium Pass,05/13/2021,1,ON,3735,448,7,Reactivated
Joshua Leonard,Female,06/27/1959,65,06/09/2022,Peak Season Promo,Seasonal,Suspended,03/20/2023,01/26/2025,No,Lack of Results,Infinity Pass,06/02/2023,2,ON,2898,678,5,Renewed
Sherri Shah,Female,12/25/1966,58,08/20/2020,Annual Flex,Single Use,Active,05/23/2021,10/18/2022,Yes,Health Issues,Starter Bundle,08/31/2024,5,ON,5211,513,6,Gifted
Melanie Edwards,Female,11/15/1954,70,01/11/2017,Peak Season Promo,Seasonal,Paused,12/22/2017,08/19/2019,No,Facility Dissatisfaction,Wellness Plan,01/21/2022,5,ON,4296,605,3,FirstTime
Michelle Howard,Female,12/08/1945,79,03/08/2022,Flexi Access,Monthly,Active,11/30/2022,12/27/2023,Yes,Facility Dissatisfaction,Standard Plan,11/09/2023,5,ON,2067,392,4,Gifted
Lisa Moreno,Female,04/11/1953,72,12/14/2022,Peak Season Promo,Flex Plan,Paused,10/21/2023,06/09/2025,No,Facility Dissatisfaction,Flexi Tier,03/05/2024,4,ON,3216,597,6,FirstTime
Danielle Guzman,Female,12/20/1992,32,12/08/2023,Momentum Membership,Monthly,Inactive,10/01/2024,05/06/2026,No,,Standard Plan,05/30/2025,5,ON,5605,582,7,Reactivated
Christopher Banks,Male,10/27/1994,30,06/18/2015,Starter Pass,Single Use,Suspended,12/27/2015,12/09/2016,No,Schedule Conflicts,Standard Plan,10/22/2024,0,ON,4354,348,7,Gifted
Brandon Shah,Female,09/02/1977,47,06/23/2020,Starter Pass,Seasonal,Guest,01/07/2021,06/16/2022,Yes,,Standard Plan,10/07/2022,2,ON,3999,525,3,Renewed
Jasmine Russell,Other,10/22/1982,42,09/03/2025,Peak Season Promo,Trial,Guest,09/14/2026,06/11/2028,Yes,Schedule Conflicts,Standard Plan,09/14/2026,0,OFF,4602,636,3,Gifted
Greg Davis,Female,10/06/1990,34,12/29/2017,Starter Pass,Annual,Completed,08/25/2018,07/26/2020,Yes,Facility Dissatisfaction,Standard Plan,03/23/2022,4,OFF,2850,701,3,FirstTime
Sherry Porter,Female,07/31/1968,56,11/09/2015,Flexi Access,Annual,Active,10/11/2016,10/17/2018,No,Schedule Conflicts,Standard Plan,03/19/2017,0,ON,1679,736,6,Referral
Darrell Duke,Male,06/29/1957,67,05/10/2022,Peak Season Promo,Monthly,Active,03/02/2023,09/21/2024,Yes,Schedule Conflicts,Starter Bundle,05/07/2024,5,ON,2968,569,7,Renewed
Paul Warren,Female,08/23/1986,38,08/01/2023,Momentum Membership,Monthly,Suspended,02/09/2024,10/05/2025,Yes,Schedule Conflicts,Flexi Tier,11/23/2024,3,ON,4182,604,6,FirstTime
Vicki Brown,Male,10/28/1946,78,12/12/2021,Momentum Membership,Trial,Trialing,06/24/2022,05/02/2023,No,Financial Constraints,Standard Plan,12/18/2024,1,ON,4001,312,3,FirstTime
Victor Rice,Male,10/01/1969,55,01/23/2025,Momentum Membership,Seasonal,Active,11/24/2025,11/23/2026,Yes,Relocation,Standard Plan,11/24/2025,2,OFF,2769,364,6,FirstTime
Alexander Stein,Non-binary,10/19/1945,79,12/21/2023,Starter Pass,Monthly,Suspended,07/10/2024,08/16/2026,Yes,Health Issues,Starter Bundle,04/13/2025,4,ON,1183,767,4,Reactivated
Tina Lopez,Male,02/11/1982,43,07/10/2022,Starter Pass,Annual,Completed,01/07/2023,01/02/2024,Yes,Financial Constraints,Premium Pass,08/25/2024,2,ON,4759,360,5,Upgraded
Daniel Reed,Male,11/08/1985,39,11/12/2018,Flexi Access,Monthly,Active,08/15/2019,09/10/2021,Yes,Facility Dissatisfaction,Starter Bundle,09/13/2021,2,ON,1987,757,7,FirstTime
Linda Berry,Male,03/08/2002,23,04/21/2023,Flexi Access,Premium,Active,02/02/2024,08/21/2025,Yes,Financial Constraints,Standard Plan,03/27/2024,1,ON,2603,566,5,Referral
Sheryl Thompson,Male,06/10/2003,22,11/13/2023,Wellness Bundle,Annual,Trialing,09/11/2024,11/16/2026,Yes,Financial Constraints,Infinity Pass,01/06/2025,3,ON,5499,796,5,Reactivated
Amanda Williams,Female,03/04/1955,70,01/06/2021,Starter Pass,Monthly,Trialing,08/22/2021,08/18/2022,No,Injury,Standard Plan,06/06/2024,3,ON,759,361,3,Renewed
Teresa Aguirre,Female,06/09/1980,45,02/01/2021,Gold Promo,Trial,Active,01/23/2022,11/23/2022,Yes,,Premium Pass,06/29/2024,3,OFF,1900,304,4,Referral
Gregory White,Female,10/03/1965,59,09/26/2018,Annual Flex,Single Use,Trialing,04/02/2019,02/16/2021,Yes,Financial Constraints,Standard Plan,03/05/2025,0,ON,5860,686,6,FirstTime
Kathleen Munoz,Male,03/14/1979,46,09/25/2019,Annual Flex,Monthly,Active,10/10/2020,08/17/2022,No,Schedule Conflicts,Standard Plan,06/28/2024,0,OFF,4806,676,4,Upgraded
Teresa Mcfarland,Female,04/28/2010,15,09/02/2016,Starter Pass,Monthly,Trialing,03/23/2017,12/13/2018,Yes,,Standard Plan,02/25/2021,1,ON,5038,630,7,Referral
Jerome Wilson,Female,02/11/1981,44,05/25/2023,Starter Pass,Trial,Paused,12/14/2023,05/02/2025,Yes,Schedule Conflicts,Starter Bundle,11/20/2024,4,ON,3613,505,7,FirstTime
Jacob Allen,Female,07/15/1981,43,09/28/2017,Annual Flex,Monthly,Paused,07/13/2018,07/05/2019,Yes,Relocation,Standard Plan,02/04/2024,1,ON,2511,357,6,Upgraded
Jared Howard,Female,08/22/1998,26,08/01/2018,Flexi Access,Monthly,Active,02/21/2019,01/27/2021,No,Lack of Results,Standard Plan,09/26/2021,0,ON,3778,706,5,Reactivated
Rita Browning,Male,01/28/2005,20,06/24/2018,Starter Pass,Trial,Active,04/19/2019,03/06/2021,No,Injury,Premium Pass,02/24/2021,1,OFF,4577,687,7,Reactivated
Annette Meyer,Female,06/30/1991,33,09/06/2016,Starter Pass,Monthly,Active,07/01/2017,07/19/2018,Yes,Financial Constraints,Standard Plan,08/07/2020,1,ON,5221,383,7,Upgraded
Joseph Andrews,Female,08/16/1988,36,06/07/2021,Momentum Membership,Single Use,Paused,02/25/2022,03/10/2024,Yes,Relocation,Infinity Pass,05/04/2024,4,ON,2462,744,7,Reactivated
Joshua Harris,Female,01/27/1980,45,12/12/2021,Momentum Membership,Annual,Active,09/04/2022,03/02/2024,No,,Infinity Pass,11/09/2022,0,ON,718,545,7,Upgraded
Craig Raymond,Male,04/26/1966,59,10/23/2025,Spring Event,Annual,Active,11/08/2026,06/06/2028,No,Schedule Conflicts,Premium Pass,11/08/2026,4,ON,2435,576,7,Gifted
Bradley Johnson,Female,03/17/1973,52,04/18/2015,Peak Season Promo,Annual,Active,12/28/2015,02/21/2017,Yes,Facility Dissatisfaction,Standard Plan,04/08/2019,3,ON,4728,421,4,Transferred
Lisa Torres,Female,04/11/1952,73,07/30/2018,Starter Pass,Monthly,Inactive,03/30/2019,08/09/2020,Yes,,Standard Plan,07/23/2021,1,ON,5906,498,4,Upgraded
Patricia Hale,Female,12/29/2009,15,08/15/2017,Peak Season Promo,Trial,Paused,07/09/2018,04/09/2020,Yes,Personal Reasons,Standard Plan,08/14/2019,0,ON,5920,640,6,Reactivated
Travis Parker,Male,10/15/1979,45,05/14/2022,Flexi Access,Trial,Active,12/22/2022,02/19/2024,No,Personal Reasons,Flexi Tier,05/31/2024,0,OFF,1167,424,3,Renewed
Kimberly Davidson,Female,09/07/1983,41,06/27/2021,Monthly Plus,Monthly,Inactive,05/02/2022,07/07/2024,Yes,,Standard Plan,06/05/2024,0,ON,5661,797,6,FirstTime
Amber Turner,Male,07/19/1993,31,04/13/2020,Momentum Membership,Single Use,Paused,11/03/2020,11/24/2022,Yes,Found Alternative,Premium Pass,06/07/2022,1,ON,4129,751,7,Upgraded
Amy Bryan,Female,09/24/1957,67,03/03/2022,Momentum Membership,Trial,Active,09/02/2022,08/16/2024,No,Lack of Results,Standard Plan,02/23/2025,0,ON,5947,714,4,Reactivated
Kelly Thompson,Female,04/15/2002,23,09/08/2016,Momentum Membership,Single Use,Suspended,06/29/2017,12/16/2018,Yes,Facility Dissatisfaction,Standard Plan,01/21/2018,3,ON,4219,535,6,Upgraded
Susan Garcia,Male,08/07/1969,55,08/22/2015,Wellness Bundle,Single Use,Active,04/12/2016,02/09/2017,Yes,Health Issues,Flexi Tier,02/16/2025,5,OFF,4381,303,6,Transferred
Michelle Jones,Female,03/31/2007,18,09/13/2019,Wellness Bundle,Monthly,Inactive,07/28/2020,10/10/2021,Yes,,Standard Plan,12/25/2021,2,ON,1381,439,4,FirstTime
Martin Smith,Female,09/24/1958,66,07/24/2021,Momentum Membership,Annual,Suspended,02/17/2022,03/11/2023,No,,Standard Plan,06/05/2023,2,OFF,1736,387,7,Upgraded
Michael Glass,Male,06/07/2005,20,07/01/2019,Momentum Membership,Monthly,Active,04/26/2020,05/20/2021,Yes,,Standard Plan,11/26/2024,1,ON,5227,389,6,Upgraded
Robert Guerra,Female,10/21/1945,79,04/17/2020,Starter Pass,Annual,Active,12/06/2020,01/19/2023,No,Financial Constraints,Standard Plan,08/20/2021,3,ON,4206,774,7,Renewed
Dr. Jacqueline Monroe,Male,06/25/2009,15,09/25/2021,Peak Season Promo,Trial,Suspended,10/11/2022,02/18/2024,Yes,Facility Dissatisfaction,Standard Plan,12/19/2022,0,ON,2142,495,5,FirstTime
David Barnett,Female,05/28/1948,77,09/15/2021,Spring Event,Annual,Pending,03/19/2022,05/30/2023,Yes,,Standard Plan,06/14/2022,4,ON,4514,437,6,Gifted
Kenneth Shields,Female,10/28/2002,22,08/07/2022,Flexi Access,Annual,Inactive,08/23/2023,06/28/2024,Yes,Relocation,Standard Plan,06/02/2025,2,ON,1857,310,4,Reactivated
Shawn Doyle,Female,03/14/1986,39,09/17/2018,Flexi Access,Annual,Guest,04/09/2019,10/20/2020,Yes,Injury,Standard Plan,06/04/2020,0,ON,3256,560,7,Transferred
Jennifer Gutierrez,Female,03/21/1963,62,08/14/2021,Flexi Access,Trial,Active,07/24/2022,08/21/2024,Yes,,Standard Plan,09/22/2024,3,ON,4859,759,4,Transferred
Ruth Freeman,Female,07/29/1963,61,01/15/2020,Momentum Membership,Single Use,Inactive,01/08/2021,03/12/2022,Yes,Relocation,Premium Pass,04/22/2022,4,ON,4590,428,7,FirstTime
Jennifer Dominguez,Non-binary,07/03/1984,40,10/15/2019,Momentum Membership,Monthly,Active,07/19/2020,09/26/2022,No,Found Alternative,Standard Plan,06/08/2025,0,OFF,3650,799,4,Upgraded
Courtney Walsh,Female,09/09/1974,50,08/06/2023,Wellness Bundle,Monthly,Completed,07/12/2024,09/18/2025,No,,Standard Plan,10/23/2024,1,ON,4899,433,3,Reactivated
Katherine White,Female,12/27/1952,72,11/02/2024,Peak Season Promo,Trial,Trialing,10/01/2025,09/19/2026,No,Health Issues,Standard Plan,10/01/2025,3,ON,1601,353,7,FirstTime
Dawn Becker,Female,10/11/1966,58,07/02/2019,Annual Flex,Trial,Inactive,03/17/2020,12/08/2021,Yes,Relocation,Premium Pass,12/18/2020,2,ON,3291,631,7,Renewed
Joshua Mitchell,Female,12/26/2005,19,07/14/2019,Flexi Access,Annual,Active,06/10/2020,04/06/2021,Yes,Health Issues,Standard Plan,03/20/2023,4,ON,4161,300,3,Reactivated
Bryan Carson,Female,07/21/1982,42,08/28/2018,Starter Pass,Annual,Inactive,05/23/2019,02/13/2021,Yes,Health Issues,Flexi Tier,07/05/2021,2,ON,4080,632,5,Upgraded
Kristen Jimenez,Male,12/16/2002,22,08/28/2016,Starter Pass,Flex Plan,Active,03/12/2017,05/03/2019,Yes,Injury,Standard Plan,12/05/2023,5,ON,1854,782,3,Renewed
Julie Rodriguez MD,Female,10/04/1953,71,02/11/2021,Momentum Membership,Annual,Guest,01/26/2022,03/12/2023,Yes,Financial Constraints,Standard Plan,10/06/2023,0,ON,4176,410,3,FirstTime
Phillip Drake,Female,08/25/1999,25,01/15/2023,Flexi Access,Monthly,Active,07/30/2023,12/27/2024,Yes,Injury,Standard Plan,11/29/2023,5,ON,4799,516,7,Upgraded
Jessica Thomas,Male,03/18/1961,64,09/15/2024,Spring Event,Monthly,Active,09/02/2025,12/19/2026,No,Health Issues,Standard Plan,09/02/2025,0,ON,5236,473,5,Reactivated
Timothy Wang,Male,04/20/1984,41,07/11/2021,Starter Pass,Annual,Active,01/07/2022,07/18/2023,Yes,,Flexi Tier,01/18/2022,3,ON,2867,557,3,Referral
Evan Carroll,Male,10/12/1957,67,02/18/2019,Starter Pass,Annual,Active,12/27/2019,08/16/2021,Yes,Relocation,Standard Plan,12/19/2023,4,ON,4392,598,3,Referral
Trevor Weeks,Male,02/26/2007,18,09/08/2016,Starter Pass,Monthly,Active,03/07/2017,03/03/2019,Yes,Relocation,Starter Bundle,11/05/2021,3,OFF,5381,726,3,Reactivated
Mathew Myers,Male,04/03/1968,57,01/21/2024,Momentum Membership,Trial,Completed,10/06/2024,10/13/2026,Yes,Financial Constraints,Flexi Tier,04/06/2025,5,ON,749,737,7,Referral
Arthur White,Female,06/13/1955,70,09/05/2016,Starter Pass,Monthly,Active,03/21/2017,07/06/2018,Yes,Injury,Premium Pass,05/15/2020,3,ON,2134,472,6,Reactivated
Jessica Savage,Female,02/16/1958,67,11/04/2023,Starter Pass,Annual,Inactive,09/20/2024,02/15/2026,Yes,,Standard Plan,02/04/2025,1,ON,1757,513,6,FirstTime
Joseph Hawkins,Female,01/03/1950,75,03/28/2020,Peak Season Promo,Annual,Active,03/20/2021,03/30/2023,No,Financial Constraints,Standard Plan,06/24/2023,3,ON,4915,740,6,FirstTime
Amy Cohen,Male,10/25/1954,70,08/03/2015,Starter Pass,Annual,Trialing,08/19/2016,08/04/2018,Yes,Found Alternative,Flexi Tier,12/31/2016,5,ON,1168,715,5,Transferred
Lisa Jackson,Female,02/22/1972,53,12/27/2016,Starter Pass,Seasonal,Inactive,09/03/2017,10/30/2018,No,,Standard Plan,07/07/2024,0,ON,1069,422,5,FirstTime
Charles Garcia,Female,02/16/2006,19,12/26/2017,Gold Promo,Monthly,Active,12/24/2018,02/20/2021,Yes,,Infinity Pass,11/09/2023,0,ON,4158,789,6,FirstTime
Justin Cervantes,Male,09/07/1960,64,02/04/2015,Starter Pass,Single Use,Active,09/05/2015,07/04/2017,Yes,Health Issues,Standard Plan,03/20/2020,3,ON,2199,668,6,Renewed
Danny Fuller,Female,06/18/1995,30,02/04/2022,Momentum Membership,Annual,Active,09/04/2022,03/23/2024,Yes,Facility Dissatisfaction,Premium Pass,03/11/2024,5,ON,5011,566,6,Renewed
Matthew Bartlett,Female,02/18/1982,43,04/17/2020,Momentum Membership,Annual,Trialing,04/25/2021,05/01/2023,Yes,Financial Constraints,Flexi Tier,10/10/2022,4,ON,1527,736,4,Renewed
Diane Jensen,Female,06/01/2006,19,11/14/2025,Peak Season Promo,Monthly,Active,06/17/2026,07/08/2027,Yes,Personal Reasons,Premium Pass,06/17/2026,3,ON,3206,386,7,Renewed
Melanie Salazar,Male,09/22/1974,50,01/03/2021,Starter Pass,Monthly,Trialing,12/15/2021,05/29/2023,No,Lack of Results,Wellness Plan,09/06/2023,5,ON,5857,530,7,FirstTime
Jordan Calhoun MD,Female,12/07/1967,57,04/12/2018,Starter Pass,Annual,Active,04/26/2019,12/15/2020,Yes,Relocation,Standard Plan,10/11/2019,2,ON,1395,599,4,FirstTime
Charles Walsh,Female,05/13/1980,45,10/23/2018,Wellness Bundle,Single Use,Trialing,04/26/2019,01/11/2021,Yes,Injury,Standard Plan,09/11/2019,2,ON,2821,626,5,Reactivated
Yvonne Macias,Female,10/30/1956,68,04/13/2017,Wellness Bundle,Monthly,Active,10/28/2017,11/14/2019,No,Facility Dissatisfaction,Starter Bundle,02/08/2020,0,OFF,3080,747,7,Upgraded
Robert Thomas,Male,06/03/1969,56,12/11/2017,Starter Pass,Trial,Active,07/06/2018,05/26/2019,Yes,,Wellness Plan,04/03/2020,3,ON,1006,324,3,FirstTime
Kimberly Perez,Male,05/24/1975,50,02/29/2020,Flexi Access,Trial,Trialing,02/10/2021,10/30/2022,No,Health Issues,Flexi Tier,05/18/2024,0,ON,604,627,4,Reactivated
Heather Mcmahon,Male,08/23/1971,53,04/19/2019,Starter Pass,Monthly,Paused,02/01/2020,09/10/2021,Yes,Schedule Conflicts,Flexi Tier,08/21/2023,3,OFF,5502,587,5,Referral
Nicholas Wallace,Female,11/14/1972,52,02/02/2021,Wellness Bundle,Monthly,Inactive,09/05/2021,07/27/2023,Yes,Financial Constraints,Wellness Plan,07/25/2023,5,OFF,3934,690,3,Reactivated
Gabriel Ross,Female,09/30/1970,54,08/18/2017,Starter Pass,Annual,Active,02/21/2018,02/22/2019,Yes,,Standard Plan,08/28/2020,0,ON,3091,366,4,Upgraded
Daniel Lee,Other,07/06/1992,32,08/01/2018,Gold Promo,Annual,Suspended,06/23/2019,07/09/2021,Yes,Financial Constraints,Premium Pass,12/19/2019,4,ON,552,747,4,Reactivated
Mary Montgomery,Female,02/23/1958,67,12/03/2023,Wellness Bundle,Annual,Active,08/10/2024,12/14/2025,Yes,Relocation,Standard Plan,08/22/2024,2,ON,1498,491,7,Renewed
Pamela Russell,Female,01/08/2004,21,07/30/2018,Starter Pass,Annual,Active,02/17/2019,01/02/2020,Yes,Health Issues,Standard Plan,12/27/2023,1,ON,4426,319,7,Renewed
Charles Rodriguez,Female,05/11/1987,38,11/06/2023,Flexi Access,Trial,Pending,05/14/2024,07/01/2025,Yes,Relocation,Standard Plan,09/21/2024,2,ON,4221,413,5,Reactivated
Ross Hampton,Non-binary,11/22/1987,37,01/19/2018,Wellness Bundle,Annual,Inactive,11/27/2018,01/21/2021,Yes,,Starter Bundle,04/13/2021,1,ON,4644,786,6,Reactivated
Daniel Arnold,Female,01/11/1986,39,12/04/2023,Starter Pass,Annual,Paused,06/04/2024,04/14/2025,No,Health Issues,Velocity Tier,01/21/2025,3,ON,747,314,7,Upgraded
Joseph White,Male,09/07/1955,69,04/29/2022,Spring Event,Annual,Active,05/19/2023,05/17/2025,Yes,Schedule Conflicts,Wellness Plan,07/19/2023,4,ON,3021,729,7,Renewed
Jasmin Estrada,Female,04/16/1974,51,12/28/2024,Starter Pass,Monthly,Active,10/24/2025,10/17/2026,Yes,Facility Dissatisfaction,Flexi Tier,10/24/2025,4,ON,4234,358,7,FirstTime
Kristine Moore,Female,04/06/1963,62,05/27/2020,Flexi Access,Annual,Active,04/03/2021,12/27/2022,Yes,Health Issues,Premium Pass,11/07/2022,1,ON,2893,633,3,FirstTime
Christina Jenkins,Female,08/14/1971,53,09/30/2025,Starter Pass,Monthly,Active,06/23/2026,11/10/2027,Yes,Relocation,Flexi Tier,06/23/2026,3,ON,1963,505,7,FirstTime
Bianca Velazquez,Male,12/15/1975,49,03/10/2016,Momentum Membership,Annual,Inactive,03/12/2017,12/12/2018,Yes,Lack of Results,Velocity Tier,02/24/2018,5,ON,2873,640,3,Renewed
Lisa Moss,Female,01/19/1966,59,11/22/2017,Annual Flex,Annual,Trialing,11/29/2018,12/24/2019,No,Health Issues,Standard Plan,07/05/2024,2,OFF,3832,390,6,Reactivated
Rachel Miller,Male,06/07/2002,23,11/28/2017,Wellness Bundle,Annual,Active,10/04/2018,03/24/2020,Yes,Facility Dissatisfaction,Wellness Plan,07/31/2019,1,ON,2924,537,3,Renewed
Amy Phelps,Male,01/22/1946,79,10/09/2015,Peak Season Promo,Annual,Active,04/10/2016,03/23/2018,No,Relocation,Starter Bundle,07/13/2021,1,ON,3840,712,4,FirstTime
